"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 15:01:33 GMT+03:00 2022","Sun Mar 06 15:01:54 GMT+03:00 2022","21302","","Калькулятор ипотеки на вторичное жилье","",": Правильный расчет ипотеки на вторичное жилье","",": Правильный расчет ипотеки на вторичное жилье",""
"broken","Sun Mar 06 15:01:54 GMT+03:00 2022","Sun Mar 06 15:02:05 GMT+03:00 2022","10283","","Калькулятор ипотеки на вторичное жилье","",": Правильный расчет ипотеки на вторичное жилье","",": Правильный расчет ипотеки на вторичное жилье",""
